STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,9.67,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,9.77,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,8.89,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,11.05,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,10.08,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2020,,96.81,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2021,,93.74,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2022,,94.10,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2023,,94.12,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2024,,94.05,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2025,,94.83,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2020,,92.18,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2021,,89.49,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2022,,87.05,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2023,,87.41,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2024,,85.65,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54HI,Individuals aged 25 to 54 with high formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2025,,87.40,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2020,,9.06,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,10.77,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,12.08,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,12.78,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,12.31,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,14.16,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2020,,23.45,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2021,,13.65,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2023,,15.25,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2025,,14.72,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2020,,13.22,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,5.80,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2023,,5.64,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2025,,5.98,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2020,,8.67,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,4.54,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2023,,6.45,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2025,,6.36,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,35.56,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,20.45,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,19.59,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,20.31,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,20.83,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2020,,75.36,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2021,,63.83,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2022,,59.14,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2023,,60.28,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2024,,63.18,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2025,,65.18,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2020,,66.29,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2021,,53.06,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2022,,47.06,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2023,,47.50,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2024,,50.86,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54LO,Individuals aged 25 to 54 with low formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2025,,51.01,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2020,,6.74,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,6.98,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,10.15,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,10.23,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,12.27,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,10.64,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2020,,31.25,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2021,,22.59,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2023,,24.09,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2025,,25.68,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2020,,17.92,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,11.04,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2023,,13.36,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2025,,14.05,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2020,,19.82,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,15.74,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2023,,16.18,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2025,,17.56,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,19.15,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,14.55,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,14.55,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,16.79,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,14.17,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2020,,93.05,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2021,,85.30,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2022,,85.86,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2023,,87.68,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2024,,87.39,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2025,,90.40,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2020,,86.31,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2021,,78.33,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2022,,75.71,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2023,,77.46,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2024,,75.12,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_54ME,Individuals aged 25 to 54 with medium formal education,I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2025,,79.76,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2020,,6.54,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,6.74,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,9.42,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,9.62,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,11.21,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,10.20,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2020,,29.39,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2021,,22.48,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2023,,23.92,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,Y25_64_SALSELFFAM,"Individuals aged 25 to 64 who are employees, self-employed or family workers",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2025,,24.40,,,,,
